epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.631,1.55971,3.79453,1.26869,0.01519,0.59399,0.11069,0.06087,1.49175,3.81416,1.17462,0.00024543,0.00024543,0.00024543
2,346.114,1.61011,2.60229,1.28595,0.31133,0.21527,0.19468,0.10175,1.66306,3.41633,1.36661,0.000490051,0.000490051,0.000490051
3,516.697,1.55677,2.23469,1.25603,0.33432,0.17885,0.20218,0.10675,1.71196,3.27132,1.44166,0.000724593,0.000724593,0.000724593
4,686.679,1.56913,2.11904,1.26229,0.38279,0.31716,0.28634,0.14829,1.68312,2.53062,1.39615,0.000855005,0.000855005,0.000855005
5,856.543,1.54565,1.95439,1.25881,0.43454,0.41382,0.39929,0.21434,1.63273,2.24151,1.37397,0.000837007,0.000837007,0.000837007
6,1026.15,1.52299,1.80276,1.23786,0.43047,0.45353,0.43718,0.23044,1.65823,2.01863,1.32849,0.000819009,0.000819009,0.000819009
7,1196.08,1.54638,1.75085,1.226,0.50034,0.53335,0.4919,0.25927,1.62953,1.83671,1.33816,0.000801011,0.000801011,0.000801011
8,1365.96,1.49667,1.72249,1.23149,0.49294,0.54792,0.48217,0.25675,1.6153,1.9438,1.32271,0.000783013,0.000783013,0.000783013
9,1536.67,1.49914,1.61045,1.21708,0.58447,0.57084,0.56656,0.32703,1.58209,1.82592,1.30668,0.000765014,0.000765014,0.000765014
10,1706.8,1.46098,1.61161,1.20473,0.5602,0.5279,0.51175,0.29684,1.5835,1.87035,1.27815,0.000747016,0.000747016,0.000747016
11,1878.35,1.46819,1.52415,1.20358,0.66083,0.50477,0.57705,0.33399,1.5766,1.77637,1.28287,0.000729018,0.000729018,0.000729018
12,2049.51,1.42938,1.41997,1.19526,0.60087,0.64674,0.63255,0.35442,1.57217,1.63271,1.28975,0.00071102,0.00071102,0.00071102
13,2218.13,1.42813,1.44974,1.19189,0.62159,0.64097,0.64867,0.36274,1.5692,1.62738,1.30571,0.000693022,0.000693022,0.000693022
14,2386.89,1.42481,1.4097,1.18011,0.64421,0.60089,0.63838,0.36321,1.54173,1.58786,1.29462,0.000675023,0.000675023,0.000675023
15,2556.72,1.38587,1.39527,1.18213,0.63574,0.56449,0.59031,0.32439,1.57119,1.65546,1.30945,0.000657025,0.000657025,0.000657025
16,2726.15,1.39073,1.33101,1.17738,0.69727,0.56936,0.6251,0.35638,1.5468,1.54458,1.30315,0.000639027,0.000639027,0.000639027
17,2895.8,1.37648,1.32211,1.16169,0.65988,0.61978,0.65283,0.37374,1.53982,1.52236,1.26669,0.000621029,0.000621029,0.000621029
18,3070.28,1.36952,1.26183,1.1656,0.69957,0.60328,0.66552,0.36956,1.59575,1.478,1.31629,0.000603031,0.000603031,0.000603031
19,3242.84,1.35668,1.25281,1.14654,0.61128,0.63524,0.67564,0.38224,1.57232,1.55077,1.28481,0.000585032,0.000585032,0.000585032
20,3412.41,1.35352,1.26987,1.16432,0.68334,0.58031,0.64331,0.36552,1.56853,1.52507,1.29686,0.000567034,0.000567034,0.000567034
21,3581.56,1.32376,1.21706,1.13193,0.7643,0.6138,0.68149,0.39878,1.53966,1.46029,1.25861,0.000549036,0.000549036,0.000549036
22,3750.87,1.33986,1.22933,1.13219,0.75735,0.65074,0.69762,0.40872,1.53782,1.39525,1.27733,0.000531038,0.000531038,0.000531038
